Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 32/setup",2.1301373423532e-5,2.1021231593087665e-5,2.1980866373971452e-5,5.337861341771629e-7,7.177349673981843e-8,7.019063822246236e-7
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 32/test",5.65891183083727e-4,3.8325888351379016e-4,1.105758877645025e-3,4.028803843377966e-4,4.175772013020248e-6,4.9741681910553e-4
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 64/setup",4.347693587458411e-5,4.1998740684154425e-5,4.4287559043529423e-5,1.434479613923199e-6,6.529361695112778e-7,1.5670468068270668e-6
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 64/test",1.1262014143965963e-3,1.1169126265547996e-3,1.1368539565108542e-3,1.261308646218277e-5,9.464502908163875e-6,1.5905525089294753e-5
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 128/setup",7.500117850858112e-5,7.333224845487018e-5,7.934039664822956e-5,3.307923537614729e-6,2.323816858484498e-7,4.309378718774434e-6
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 128/test",3.8276857717092646e-3,3.7911838872488153e-3,3.859300075298132e-3,4.2361537243295935e-5,2.4259222227108723e-5,6.0004833978086436e-5
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 256/setup",3.567819186883379e-4,3.359123457309811e-4,3.7765149164569465e-4,2.67396590347647e-5,2.01210779267156e-5,3.325621556710773e-5
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 256/test",1.6595782157432203e-2,1.5386380073081615e-2,1.8660630103599193e-2,1.865434260526883e-3,7.508765949379694e-5,2.3427349762064646e-3
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 512/setup",1.040384500387103e-3,1.0287019900111264e-3,1.048323839071185e-3,1.2544873346793503e-5,6.523700460711464e-6,1.9000442532778184e-5
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 512/test",7.898854148055232e-2,6.428607833052791e-2,0.11634782683516659,2.8437015268603753e-2,7.156364023998655e-4,3.623247274405203e-2
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 1024/setup",1.1510790702354076e-2,3.976048347007396e-3,1.9495428916465406e-2,9.910516220678707e-3,7.683114353307718e-3,1.1073405673209566e-2
